rfi_rule_id,rule_id,trigger_condition,rfi_question,impact_if_unanswered,priority,source_page,source_excerpt
RFI-001-1,IB2024-I01-001,missing_system_boundary,請確認本案是否納入「1.1.1 資通訊網路垂直主幹光纖化架構」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",垂直主幹佈線採用光纖化架構
RFI-001-2,IB2024-I01-001,missing_evidence_document,請確認本案是否納入「1.1.1 資通訊網路垂直主幹光纖化架構」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",垂直主幹佈線採用光纖化架構
RFI-002-3,IB2024-I01-002,missing_scope,請確認本案是否納入「1.1.2 水平佈線支援不同系統需求」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",監視攝影、門禁管理、保全、對講、停車管理
RFI-002-1,IB2024-I01-002,missing_system_boundary,請確認本案是否納入「1.1.2 水平佈線支援不同系統需求」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",監視攝影、門禁管理、保全、對講、停車管理
RFI-002-2,IB2024-I01-002,missing_equipment_spec,請確認本案是否納入「1.1.2 水平佈線支援不同系統需求」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",監視攝影、門禁管理、保全、對講、停車管理
RFI-003-3,IB2024-I01-003,missing_scope,請確認本案是否納入「1.1.3 公眾行動通信涵蓋」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊
RFI-003-1,IB2024-I01-003,missing_testing_requirement,請確認本案是否納入「1.1.3 公眾行動通信涵蓋」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊
RFI-004-2,IB2024-I01-004,missing_scope,請確認本案是否納入「1.1.4 無線區域網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"15,77",適當公共空間或必要之工作區域
RFI-004-3,IB2024-I01-004,missing_equipment_spec,請確認本案是否納入「1.1.4 無線區域網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"15,77",適當公共空間或必要之工作區域
RFI-005-1,IB2024-I01-005,missing_integration_interface,請確認本案是否納入「1.1.5 無線物聯網網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"15-16,77-78",蒐集建築物環境數據或維運管理資訊
RFI-005-2,IB2024-I01-005,missing_equipment_spec,請確認本案是否納入「1.1.5 無線物聯網網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"15-16,77-78",蒐集建築物環境數據或維運管理資訊
RFI-005-3,IB2024-I01-005,missing_evidence_document,請確認本案是否納入「1.1.5 無線物聯網網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"15-16,77-78",蒐集建築物環境數據或維運管理資訊
RFI-006-1,IB2024-I01-006,missing_system_boundary,請確認本案是否納入「1.1.6 行動寬頻專用電信網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"16,78",人工智慧與物聯網等應用整合平台的專用網路
RFI-006-2,IB2024-I01-006,missing_integration_interface,請確認本案是否納入「1.1.6 行動寬頻專用電信網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"16,78",人工智慧與物聯網等應用整合平台的專用網路
RFI-007-3,IB2024-I01-007,missing_evidence_document,請確認本案是否納入「1.2.1 佈線系統標示與識別」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"16-17,79",標示與可識別機制或參考 TIA-606
RFI-008-1,IB2024-I01-008,missing_testing_requirement,請確認本案是否納入「1.2.2 佈線系統檢測計畫及竣工檢測報告」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"17,79-80",傳輸特性測試；鏈結損失測試；無線訊號強度測試
RFI-008-2,IB2024-I01-008,missing_evidence_document,請確認本案是否納入「1.2.2 佈線系統檢測計畫及竣工檢測報告」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"17,79-80",傳輸特性測試；鏈結損失測試；無線訊號強度測試
RFI-009-3,IB2024-I01-009,missing_evidence_document,請確認本案是否納入「1.2.3 佈線系統維運管理計畫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"17,80-81",佈線維運管理計畫；BIM 或 3D 可視化
RFI-009-1,IB2024-I01-009,missing_integration_interface,請確認本案是否納入「1.2.3 佈線系統維運管理計畫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"17,80-81",佈線維運管理計畫；BIM 或 3D 可視化
RFI-010-2,IB2024-I01-010,missing_equipment_spec,請確認本案是否納入「1.2.4 電動車輛充電設備電能維運管理系統」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"18,81",停車空間導入電動車輛電能管理系統
RFI-010-3,IB2024-I01-010,missing_system_boundary,請確認本案是否納入「1.2.4 電動車輛充電設備電能維運管理系統」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"18,81",停車空間導入電動車輛電能管理系統
RFI-011-1,IB2024-I01-011,missing_evidence_document,請確認本案是否納入「1.3.1 建築靜態數據庫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"18,81",BIM、CAD 或 PMIS 等圖資數據
RFI-011-2,IB2024-I01-011,missing_system_boundary,請確認本案是否納入「1.3.1 建築靜態數據庫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"18,81",BIM、CAD 或 PMIS 等圖資數據
RFI-012-3,IB2024-I01-012,missing_integration_interface,請確認本案是否納入「1.3.2 建築動態數據庫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"18-19,82",動態數據須具備資料介接、互通與交換
RFI-012-1,IB2024-I01-012,missing_scope,請確認本案是否納入「1.3.2 建築動態數據庫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"18-19,82",動態數據須具備資料介接、互通與交換
RFI-012-2,IB2024-I01-012,missing_evidence_document,請確認本案是否納入「1.3.2 建築動態數據庫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"18-19,82",動態數據須具備資料介接、互通與交換
RFI-013-3,IB2024-I01-013,missing_system_boundary,請確認本案是否納入「1.3.3 備援機制」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"19-20,82",建築數據庫備援；網路備援；系統備援
RFI-013-1,IB2024-I01-013,missing_evidence_document,請確認本案是否納入「1.3.3 備援機制」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"19-20,82",建築數據庫備援；網路備援；系統備援
RFI-014-2,IB2024-I01-014,missing_equipment_spec,請確認本案是否納入「1.3.4 資訊安全」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"20,83",網路、設備、使用者及資料系統需設置適當資訊安全機制
RFI-014-3,IB2024-I01-014,missing_integration_interface,請確認本案是否納入「1.3.4 資訊安全」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"20,83",網路、設備、使用者及資料系統需設置適當資訊安全機制
RFI-015-1,IB2024-I01-015,missing_evidence_document,請確認本案是否納入「1.3.5 區塊鏈加密機制」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"20-21,83",保全、門禁管理、緊急對講、監視攝影、主機登入紀錄
RFI-015-2,IB2024-I01-015,missing_system_boundary,請確認本案是否納入「1.3.5 區塊鏈加密機制」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"20-21,83",保全、門禁管理、緊急對講、監視攝影、主機登入紀錄
RFI-016-3,IB2024-I02-001,missing_scope,請確認本案是否納入「2.1.1 建築智慧化規劃設計」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"22,95",建築智慧化需求、服務目的及智慧化系統規劃設計圖說
RFI-016-1,IB2024-I02-001,missing_evidence_document,請確認本案是否納入「2.1.1 建築智慧化規劃設計」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"22,95",建築智慧化需求、服務目的及智慧化系統規劃設計圖說
RFI-017-2,IB2024-I02-002,missing_integration_interface,請確認本案是否納入「2.1.2 智慧化系統需求與設計」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"22,95-96",跨系統整合之智慧化具體互動關聯性作為
RFI-017-3,IB2024-I02-002,missing_scope,請確認本案是否納入「2.1.2 智慧化系統需求與設計」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"22,95-96",跨系統整合之智慧化具體互動關聯性作為
RFI-018-1,IB2024-I02-003,missing_equipment_spec,請確認本案是否納入「2.1.3 平台管理計畫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"22-23,96",運轉資訊異常預警通知；網路資訊異常警示
RFI-018-2,IB2024-I02-003,missing_testing_requirement,請確認本案是否納入「2.1.3 平台管理計畫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"22-23,96",運轉資訊異常預警通知；網路資訊異常警示
RFI-019-3,IB2024-I02-004,missing_evidence_document,請確認本案是否納入「2.1.4 使用管理計畫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"23-24,96-97",智慧化設施設備(含感測器)管理維護規範
RFI-020-1,IB2024-I02-005,missing_evidence_document,請確認本案是否納入「2.1.5 維運管理計畫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"24-25,97-98",網頁(WEB)化維運管理系統；5 年維護計畫
RFI-020-2,IB2024-I02-005,missing_system_boundary,請確認本案是否納入「2.1.5 維運管理計畫」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"24-25,97-98",網頁(WEB)化維運管理系統；5 年維護計畫
RFI-021-3,IB2024-I02-006,missing_scope,請確認本案是否納入「2.2.1 工地安全管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測
RFI-021-1,IB2024-I02-006,missing_equipment_spec,請確認本案是否納入「2.2.1 工地安全管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"25,98-99",防墜落偵測感應、工地煙火偵測或開挖觀測
RFI-022-2,IB2024-I02-007,missing_scope,請確認本案是否納入「2.2.2 工地人員管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"25,99",實名制管理、定位追蹤
RFI-022-3,IB2024-I02-007,missing_equipment_spec,請確認本案是否納入「2.2.2 工地人員管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"25,99",實名制管理、定位追蹤
RFI-023-1,IB2024-I02-008,missing_scope,請確認本案是否納入「2.2.3 工地資材管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,low,"25-26,99-100",資材庫存管理、物料追蹤管理
RFI-024-2,IB2024-I02-009,missing_integration_interface,請確認本案是否納入「2.3.1 智慧建築監控」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"26,100-101",資訊採集或遠端操控；主動通報；即時影像連動跳圖
RFI-024-3,IB2024-I02-009,missing_testing_requirement,請確認本案是否納入「2.3.1 智慧建築監控」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"26,100-101",資訊採集或遠端操控；主動通報；即時影像連動跳圖
RFI-025-1,IB2024-I02-010,missing_evidence_document,請確認本案是否納入「2.3.2 建築維運管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"27,101",故障紀錄功能並供使用者查詢；產製管理報表
RFI-026-2,IB2024-I02-011,missing_equipment_spec,請確認本案是否納入「2.3.3 行動化管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"27,101-102",行動裝置應用程式上提供管理者能即時掌握相關資訊
RFI-026-3,IB2024-I02-011,missing_integration_interface,請確認本案是否納入「2.3.3 行動化管理」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"27,101-102",行動裝置應用程式上提供管理者能即時掌握相關資訊
RFI-027-1,IB2024-I02-012,missing_integration_interface,請確認本案是否納入「2.3.4 建築資訊模型 BIM 整合」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"27-28,102",BIM 視覺化瀏覽並提供即時設備資訊顯示
RFI-027-2,IB2024-I02-012,missing_evidence_document,請確認本案是否納入「2.3.4 建築資訊模型 BIM 整合」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"27-28,102",BIM 視覺化瀏覽並提供即時設備資訊顯示
RFI-028-3,IB2024-I02-013,missing_integration_interface,請確認本案是否納入「2.3.5 營運數據應用」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"28,102",營運數據後端分析與推估預測功能
RFI-028-1,IB2024-I02-013,missing_testing_requirement,請確認本案是否納入「2.3.5 營運數據應用」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"28,102",營運數據後端分析與推估預測功能
RFI-029-2,IB2024-I03-001,missing_equipment_spec,請確認本案是否納入「3.1.1.1 火警偵知」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"29,109",火警可靠的監測數據和警報資訊
RFI-029-3,IB2024-I03-001,missing_integration_interface,請確認本案是否納入「3.1.1.1 火警偵知」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"29,109",火警可靠的監測數據和警報資訊
RFI-030-1,IB2024-I03-002,missing_equipment_spec,請確認本案是否納入「3.1.1.2 防火門狀態偵知」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"29-30,109-110",監視防火門之啟閉狀態
RFI-031-2,IB2024-I03-003,missing_equipment_spec,請確認本案是否納入「3.1.1.3 用電異常偵測」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"30,110",用電異常訊號整合至智慧建築管理系統
RFI-031-3,IB2024-I03-003,missing_testing_requirement,請確認本案是否納入「3.1.1.3 用電異常偵測」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"30,110",用電異常訊號整合至智慧建築管理系統
RFI-032-1,IB2024-I03-004,missing_testing_requirement,請確認本案是否納入「3.1.1.4 室內溫度異常火警告警」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"30,110",依據室內溫度記錄判斷異常
RFI-033-2,IB2024-I03-005,missing_equipment_spec,請確認本案是否納入「3.1.1.5 漏水偵知」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"30,111",漏水偵知訊號，整合至智慧建築管理平台
RFI-034-3,IB2024-I03-006,missing_equipment_spec,請確認本案是否納入「3.1.1.6 地震偵知」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"30-31,111",地震偵知訊號整合至智慧建築管理平台
RFI-035-1,IB2024-I03-007,missing_scope,請確認本案是否納入「3.1.2.1 災害告警訊息顯示」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"31,112",公共空間之顯示裝置上，提供災害告警訊息
RFI-035-2,IB2024-I03-007,missing_equipment_spec,請確認本案是否納入「3.1.2.1 災害告警訊息顯示」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"31,112",公共空間之顯示裝置上，提供災害告警訊息
RFI-036-3,IB2024-I03-008,missing_integration_interface,請確認本案是否納入「3.1.2.2 連動設備狀態顯示」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"31-32,112",顯示連動設備狀態訊息
RFI-037-1,IB2024-I03-009,missing_integration_interface,請確認本案是否納入「3.1.3.1 消防連動門禁及昇降機」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"32,113",連動解除主要逃生動線上之門禁管制設備
RFI-037-2,IB2024-I03-009,conflicting_requirement,請確認本案是否納入「3.1.3.1 消防連動門禁及昇降機」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"32,113",連動解除主要逃生動線上之門禁管制設備
RFI-038-3,IB2024-I03-010,missing_integration_interface,請確認本案是否納入「3.1.3.2 消防系統與空調及地下室送排風連動」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"32,113",消防系統需與空調及地下室送排風設備整合連動
RFI-039-1,IB2024-I03-011,missing_testing_requirement,請確認本案是否納入「3.1.3.3 用電異常自動斷電」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"32-33,114",具備用電異常自動斷電功能
RFI-039-2,IB2024-I03-011,missing_equipment_spec,請確認本案是否納入「3.1.3.3 用電異常自動斷電」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"32-33,114",具備用電異常自動斷電功能
RFI-040-3,IB2024-I03-012,missing_scope,請確認本案是否納入「3.1.3.4 火災避難引導連動」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"33,114",閃滅或聲響型避難方向指示燈引導人員避難
RFI-040-1,IB2024-I03-012,missing_testing_requirement,請確認本案是否納入「3.1.3.4 火災避難引導連動」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"33,114",閃滅或聲響型避難方向指示燈引導人員避難
RFI-041-2,IB2024-I03-013,missing_integration_interface,請確認本案是否納入「3.1.3.5 火災預警連動監視器影像」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"33,115",系統可連動監視器顯示現場影像
RFI-042-3,IB2024-I03-014,missing_integration_interface,請確認本案是否納入「3.1.3.6 漏水連動監視器影像」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"34,115",漏水偵知可連動監視器顯示現場影像
